id,job_id,certification_id,default_weightage,date_created,date_updated
78,9,1739,4,2017-05-31 22:48:55.193705+00,2017-05-31 22:48:55.193739+00
87,15,1739,4,2017-05-31 23:23:35.704291+00,2017-05-31 23:23:35.704314+00
22,7,1739,5,2017-04-07 16:09:40.143606+00,2017-04-07 16:09:40.143643+00
42,10,1739,5,2017-04-25 22:41:08.176205+00,2017-04-25 22:41:08.176241+00
56,11,1739,5,2017-05-30 22:39:19.625057+00,2017-05-30 22:39:19.625082+00
63,12,1739,5,2017-05-30 22:55:59.92295+00,2017-05-30 22:55:59.922974+00
68,13,1739,5,2017-05-30 23:10:00.892409+00,2017-05-30 23:10:00.892433+00
82,14,1739,5,2017-05-31 23:09:22.868121+00,2017-05-31 23:09:22.868144+00
94,16,1739,5,2017-06-01 17:06:41.213407+00,2017-06-01 17:06:41.21343+00
6,1,2651,4,2017-04-06 18:49:45.271771+00,2017-04-06 18:49:45.271806+00
21,4,2651,5,2017-04-06 22:03:44.157396+00,2017-04-06 22:03:44.157426+00
50,6,2651,5,2017-05-25 23:17:13.941132+00,2017-05-25 23:17:13.941156+00
12,5,2651,3,2017-04-06 19:21:53.996334+00,2017-04-06 19:21:53.996359+00
95,16,2651,4,2017-06-01 17:06:41.227047+00,2017-06-01 17:06:41.227069+00
104,14,2651,5,2017-06-21 22:46:09.137764+00,2017-06-21 22:46:09.137797+00
105,11,2651,4,2017-06-21 22:56:55.408019+00,2017-06-21 22:56:55.40805+00
106,12,2651,3,2017-06-21 23:00:47.502222+00,2017-06-21 23:00:47.502251+00
107,13,2651,3,2017-06-21 23:08:18.865706+00,2017-06-21 23:08:18.865738+00
32,5,44217,2,2017-04-07 19:52:04.805726+00,2017-04-07 19:52:04.805764+00
33,1,44217,2,2017-04-07 19:54:26.240268+00,2017-04-07 19:54:26.240305+00
73,4,44217,2,2017-05-31 22:06:39.56944+00,2017-05-31 22:06:39.569471+00
98,16,44217,2,2017-06-01 17:06:41.242799+00,2017-06-01 17:06:41.242822+00
2,1,7802,2,2017-04-06 18:49:45.240225+00,2017-04-06 18:49:45.240263+00
3,1,14120,3,2017-04-06 18:49:45.249299+00,2017-04-06 18:49:45.249334+00
34,7,44217,1,2017-04-07 20:20:54.335129+00,2017-04-07 20:20:54.335165+00
54,11,35508,5,2017-05-30 22:24:35.097301+00,2017-05-30 22:24:35.097323+00
69,13,35508,5,2017-05-30 23:10:00.89687+00,2017-05-30 23:10:00.896893+00
85,14,35508,5,2017-05-31 23:09:22.880988+00,2017-05-31 23:09:22.88101+00
88,15,35508,5,2017-05-31 23:23:35.708767+00,2017-05-31 23:23:35.70879+00
37,2,43707,5,2017-04-14 18:33:48.223616+00,2017-04-14 18:33:48.22365+00
44,12,43707,5,2017-05-25 00:37:23.617263+00,2017-05-25 00:37:23.617297+00
53,11,43707,5,2017-05-30 22:24:35.093014+00,2017-05-30 22:24:35.093043+00
67,13,43707,5,2017-05-30 23:10:00.888201+00,2017-05-30 23:10:00.888227+00
