id,job_id,default_weightage,date_created,date_updated,skill_id,experience_months
213,9,0,2017-03-07 21:18:11.111872+00,2017-03-07 21:18:11.111898+00,150,12
199,9,0,2017-03-07 21:18:09.254687+00,2017-03-07 21:18:09.25471+00,150,12
214,9,1,2017-03-07 21:18:11.116625+00,2017-03-07 21:18:11.11665+00,12,0
198,9,1,2017-03-07 21:18:09.250433+00,2017-03-07 21:18:09.250457+00,12,0
189,9,0,2017-03-07 21:18:09.21106+00,2017-03-07 21:18:09.211083+00,174,6
207,9,3,2017-03-07 21:18:09.290546+00,2017-03-07 21:18:09.29057+00,241,0
221,9,3,2017-03-07 21:18:11.1562+00,2017-03-07 21:18:11.156224+00,1953,0
211,9,3,2017-03-07 21:18:09.322972+00,2017-03-07 21:18:09.322996+00,1953,0
216,9,1,2017-03-07 21:18:11.125722+00,2017-03-07 21:18:11.125754+00,5316,0
208,9,1,2017-03-07 21:18:09.302424+00,2017-03-07 21:18:09.302449+00,5316,0
162,7,1,2017-03-07 19:33:53.476232+00,2017-03-07 19:33:53.476256+00,323,12
157,7,1,2017-03-07 19:33:53.444273+00,2017-03-07 19:33:53.444299+00,116,6
156,7,1,2017-03-07 19:33:53.439912+00,2017-03-07 19:33:53.439934+00,174,6
304,10,2,2017-04-25 22:33:57.828196+00,2017-04-25 22:33:57.828236+00,32,12
151,7,3,2017-03-07 19:33:53.416014+00,2017-03-07 19:33:53.416063+00,66,6
1026,48,5,2018-01-29 16:57:33.426586+00,2018-01-29 16:57:33.426609+00,7428,12
1056,36,3,2018-02-27 19:50:36.448067+00,2018-02-27 19:50:36.448105+00,7537,12
1027,48,2,2018-01-29 16:57:33.430228+00,2018-01-29 16:57:33.43025+00,7384,12
169,8,5,2017-03-07 20:43:21.406844+00,2017-03-07 20:43:21.406873+00,170,12
1021,48,2,2018-01-29 16:57:33.407693+00,2018-01-29 16:57:33.407715+00,211,12
1022,48,5,2018-01-29 16:57:33.411628+00,2018-01-29 16:57:33.41165+00,3,12
332,15,1,2017-05-25 23:51:07.096025+00,2017-05-25 23:51:07.096058+00,114,0
333,15,1,2017-05-25 23:51:07.102444+00,2017-05-25 23:51:07.102468+00,190,0
334,15,1,2017-05-25 23:51:07.106794+00,2017-05-25 23:51:07.10682+00,79,0
335,15,1,2017-05-25 23:51:07.112318+00,2017-05-25 23:51:07.112356+00,235,0
177,8,1,2017-03-07 20:43:21.45294+00,2017-03-07 20:43:21.452965+00,114,12
351,16,5,2017-06-06 16:10:02.794958+00,2017-06-06 16:10:02.794985+00,304,6
352,16,5,2017-06-06 16:10:02.79927+00,2017-06-06 16:10:02.799296+00,7428,12
353,16,1,2017-06-06 16:10:02.803587+00,2017-06-06 16:10:02.803614+00,96,6
354,16,5,2017-06-06 16:10:02.807804+00,2017-06-06 16:10:02.807847+00,7378,12
355,16,5,2017-06-06 16:10:02.828568+00,2017-06-06 16:10:02.828602+00,6635,6
317,11,1,2017-05-25 23:33:36.562924+00,2017-05-25 23:33:36.56296+00,114,12
319,11,1,2017-05-25 23:33:36.571659+00,2017-05-25 23:33:36.571684+00,79,12
1028,48,2,2018-01-29 16:57:33.433717+00,2018-01-29 16:57:33.433739+00,190,12
1025,48,1,2018-01-29 16:57:33.422993+00,2018-01-29 16:57:33.423017+00,57,12
1023,48,1,2018-01-29 16:57:33.415503+00,2018-01-29 16:57:33.415528+00,7538,12
1024,48,2,2018-01-29 16:57:33.419271+00,2018-01-29 16:57:33.419295+00,235,12
1057,36,2,2018-02-27 19:50:36.45564+00,2018-02-27 19:50:36.455664+00,7628,6
1058,36,2,2018-02-27 19:50:36.460906+00,2018-02-27 19:50:36.460932+00,7507,6
231,9,0,2017-03-07 21:18:11.200935+00,2017-03-07 21:18:11.20096+00,3,0
229,9,1,2017-03-07 21:18:11.19091+00,2017-03-07 21:18:11.190936+00,70,0
228,9,1,2017-03-07 21:18:11.186094+00,2017-03-07 21:18:11.186119+00,756,0
225,9,3,2017-03-07 21:18:11.172895+00,2017-03-07 21:18:11.172932+00,66,0
230,9,1,2017-03-07 21:18:11.19645+00,2017-03-07 21:18:11.196475+00,114,0
233,9,0,2017-03-07 21:18:11.209248+00,2017-03-07 21:18:11.209285+00,52,12
235,9,0,2017-03-07 21:18:11.217806+00,2017-03-07 21:18:11.217831+00,3578,12
227,9,0,2017-03-07 21:18:11.181444+00,2017-03-07 21:18:11.181468+00,211,6
232,9,5,2017-03-07 21:18:11.204981+00,2017-03-07 21:18:11.205006+00,2747,0
236,9,0,2017-03-07 21:18:11.222224+00,2017-03-07 21:18:11.222248+00,20,6
226,9,0,2017-03-07 21:18:11.177192+00,2017-03-07 21:18:11.177222+00,174,6
234,9,3,2017-03-07 21:18:11.213613+00,2017-03-07 21:18:11.213638+00,241,0
237,5,5,2017-04-05 16:51:20.414538+00,2017-04-05 16:51:20.414573+00,6632,6
238,5,5,2017-04-05 16:51:20.420377+00,2017-04-05 16:51:20.420409+00,6631,6
239,5,5,2017-04-05 16:51:20.424571+00,2017-04-05 16:51:20.424597+00,225,6
240,5,5,2017-04-05 16:51:20.42872+00,2017-04-05 16:51:20.428746+00,60,12
241,5,3,2017-04-05 16:51:20.444084+00,2017-04-05 16:51:20.444119+00,6627,6
242,5,5,2017-04-05 16:51:20.450443+00,2017-04-05 16:51:20.45047+00,6642,6
243,5,5,2017-04-05 16:51:20.454603+00,2017-04-05 16:51:20.454629+00,6638,12
244,5,5,2017-04-05 16:51:20.45869+00,2017-04-05 16:51:20.458716+00,166,12
245,5,5,2017-04-05 16:51:20.462756+00,2017-04-05 16:51:20.462782+00,175,12
246,5,5,2017-04-05 16:51:20.46665+00,2017-04-05 16:51:20.466676+00,114,6
247,5,5,2017-04-05 16:51:20.470669+00,2017-04-05 16:51:20.470695+00,3545,12
248,5,5,2017-04-05 16:51:20.474681+00,2017-04-05 16:51:20.474707+00,291,12
